skill_name,init_files,bddl_files,combined_path,object
"""pick white bowl""",pick_white_bowl.init,KITCHEN_SCENE9_put_the_white_bowl_on_top_of_the_cabinet_pick.bddl; KITCHEN_SCENE7_put_the_white_bowl_on_the_plate_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_white_bowl_original.hdf5,white_bowl_1_main
"""place black bowl 2 on the plate 2""",place_black_bowl_on_the_plate.init,KITCHEN_SCENE2_put_the_middle_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE1_put_the_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_front_on_the_plate_place.bddl; KITCHEN_SCENE5_put_the_black_bowl_on_the_plate_place.bddl; KITCHEN_SCENE2_put_the_black_bowl_at_the_back_on_the_plate_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_black_bowl_on_the_plate_original.hdf5,plate_2_main
"""open the top drawer of the cabinet 1""",open_the_top_drawer_of_the_cabinet.init,KITCHEN_SCENE1_open_the_top_drawer_of_the_cabinet.bddl; KITCHEN_SCENE2_open_the_top_drawer_of_the_cabinet.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/open_the_top_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_top
"""place ketchup in top drawer of the cabinet 1""",place_ketchup_in_top_drawer_of_the_cabinet.init,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_ketchup_in_top_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_top
"""close the top drawer of the cabinet 1""",close_the_top_drawer_of_the_cabinet.init,KITCHEN_SCENE5_close_the_top_drawer_of_the_cabinet.bddl; KITCHEN_SCENE10_close_the_top_drawer_of_the_cabinet.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/close_the_top_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_top
"""open the bottom drawer of the cabinet 1""",open_the_bottom_drawer_of_the_cabinet.init,KITCHEN_SCENE1_open_the_bottom_drawer_of_the_cabinet.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/open_the_bottom_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_bottom
"""pick wine bottle""",pick_wine_bottle.init,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet_pick.bddl; KITCHEN_SCENE4_put_the_wine_bottle_on_the_wine_rack_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_wine_bottle_original.hdf5,wine_bottle_1_main
"""place wine bottle in the bottom drawer of the cabinet 1""",place_wine_bottle_in_bottom_drawer_of_the_cabinet.init,KITCHEN_SCENE4_put_the_wine_bottle_in_the_bottom_drawer_of_the_cabinet_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_wine_bottle_in_bottom_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_bottom
"""close the bottom drawer of the cabinet 1""",close_the_bottom_drawer_of_the_cabinet.init,KITCHEN_SCENE4_close_the_bottom_drawer_of_the_cabinet.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/close_the_bottom_drawer_of_the_cabinet_original.hdf5,wooden_cabinet_1_cabinet_bottom
"""place black bowl in bottom drawer of the cabinet 1""",place_black_bowl_in_bottom_drawer_of_the_cabinet.init,KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_black_bowl_in_bottom_drawer_of_the_cabinet_original.hdf5,white_cabinet_1_bottom_region
"""place moka pot on the stove 1""",place_moka_pot_on_the_stove.init,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove_place.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/place_moka_pot_on_the_stove_original.hdf5,flat_stove_1_main
"""pick ketchup""",pick_ketchup.init,KITCHEN_SCENE5_put_the_ketchup_in_the_top_drawer_of_the_cabinet_pick.bddl,datasets/hdf5_datasets/atomic_local_demos_augmented_pick_10_place_15_atomic_15/combined_by_language/pick_ketchup_original.hdf5,ketchup_1_main
